utterance	fragment	start	end	speaker	text
324	0	00:18:32.516	00:18:38.255	Rafael Costa (Vendor)	Ohh, not not here, so there there could be there are other
324	1	00:18:38.255	00:18:44.676	Rafael Costa (Vendor)	templates here that that that are supported under the same modes.
325	0	00:18:48.516	00:18:50.196	Rafael Costa (Vendor)	Yeah, yeah, yeah.
328	0	00:18:42.316	00:18:45.991	Martin Vasquez	But these would only be the default mapped templates because you're on a tab
328	1	00:18:45.991	00:18:49.093	Martin Vasquez	called default mapped. So I imagine that it's only going to have
328	2	00:18:49.093	00:18:50.716	Martin Vasquez	default mapped template IDs in it.
331	0	00:18:51.316	00:18:55.148	Rafael Costa (Vendor)	Correct, but I mean that we are we should be okay
331	1	00:18:55.148	00:19:00.208	Rafael Costa (Vendor)	to move the old version or even a new template under the same SEGMENT-TAG,
331	2	00:19:00.208	00:19:06.570	Rafael Costa (Vendor)	the default map to another to the the the default one that we are using as part of
331	3	00:19:06.570	00:19:11.476	Rafael Costa (Vendor)	the any new order, right? This should be okay. A question here,
331	4	00:19:11.476	00:19:12.396	Rafael Costa (Vendor)	can we move?
332	0	00:19:17.916	00:19:18.036	Daniel Okonkwo	It.
333	0	00:19:12.476	00:19:15.381	Rafael Costa (Vendor)	to a template which is actually under different category,
333	1	00:19:15.381	00:19:18.036	Rafael Costa (Vendor)	different beyond multi category. This is a question.
334	0	00:19:20.916	00:19:22.796	Rafael Costa (Vendor)	But we need to answer.
337	0	00:19:28.596	00:19:28.996	Rafael Costa (Vendor)	And.
342	0	00:19:25.556	00:19:28.581	Martin Vasquez	I can't imagine why it wouldn't be possible, right? Like,
342	1	00:19:28.581	00:19:32.702	Martin Vasquez	it'd be very strange for METCO to go, oh, you want to change from default map to
342	2	00:19:32.702	00:19:35.258	Martin Vasquez	PRIORITY-MARK map? Now you need to disconnect the product
342	3	00:19:35.258	00:19:37.762	Martin Vasquez	instance and free and submit a new order. Like,
342	4	00:19:37.762	00:19:41.779	Martin Vasquez	that doesn't seem like something that, that seems like a thing very early on
342	5	00:19:41.779	00:19:45.796	Martin Vasquez	that customers would have gone, no, that's unacceptable. We need to do this.
343	0	00:19:53.556	00:19:53.716	Rafael Costa (Vendor)	Mm.
344	0	00:19:45.956	00:19:49.667	Martin Vasquez	On the existing SERVICE-REF, like, we don't wanna submit a new order for
344	1	00:19:49.667	00:19:53.435	Martin Vasquez	this, like it is in a new configure, a new XYZ for this. This is,
344	2	00:19:53.435	00:19:57.889	Martin Vasquez	that's ridiculous, right? Like, it'd be, I'd be very surprised if that wasn't
344	3	00:19:57.889	00:19:59.716	Martin Vasquez	wasn't something they supported.
345	0	00:19:58.996	00:20:03.984	Rafael Costa (Vendor)	Okay, okay, so this should be fine as long as what we,
345	1	00:20:03.984	00:20:07.884	Rafael Costa (Vendor)	okay, so the earlier decision that we will
345	2	00:20:07.884	00:20:14.141	Rafael Costa (Vendor)	support these four categories. If we have a product which is running
345	3	00:20:14.141	00:20:17.316	Rafael Costa (Vendor)	with a different SEGMENT-TAG tagging, we can
346	0	00:20:17.556	00:20:21.111	Rafael Costa (Vendor)	have a modified order, but it will be to one of these four
346	1	00:20:21.111	00:20:24.426	Rafael Costa (Vendor)	templates, right? Which we already support, basically.
346	2	00:20:24.426	00:20:26.596	Rafael Costa (Vendor)	So this should be fine in this case.
350	0	00:20:27.556	00:20:30.825	Rafael Costa (Vendor)	We should have, we shouldn't have a problem as long as we
350	1	00:20:30.825	00:20:32.516	Rafael Costa (Vendor)	allow we allow this to happen.
351	0	00:20:36.436	00:20:39.821	Rafael Costa (Vendor)	Then, we should be OK, because we are now what was the old
351	1	00:20:39.821	00:20:42.632	Rafael Costa (Vendor)	template, as long as we are moving to one of the
351	2	00:20:42.632	00:20:46.476	Rafael Costa (Vendor)	four things that we are supporting, then then they should be fine.
352	0	00:20:48.036	00:20:49.556	Rafael Costa (Vendor)	We have actually no problem in this case.
355	0	00:20:52.556	00:20:54.676	Elena Marchetti	Hold on, let me get this straight. So you're saying that...
359	0	00:21:06.116	00:21:06.596	Rafael Costa (Vendor)	Yeah.
360	0	00:20:55.636	00:21:01.585	Elena Marchetti	as long as if a modify speed comes in, let's say modified bandwidth comes in,
360	1	00:21:01.585	00:21:05.856	Elena Marchetti	and this is a legacy service on a PRIORITY-MARK mapped template.
360	2	00:21:05.856	00:21:11.805	Elena Marchetti	You're saying that as long as you can send out that modify bandwidth on a new
360	3	00:21:11.805	00:21:13.636	Elena Marchetti	default mapped template,
361	0	00:21:19.476	00:21:20.116	Rafael Costa (Vendor)	Yes.
362	0	00:21:21.316	00:21:24.036	Rafael Costa (Vendor)	The one which we currently have, exactly, it should be fine.
363	0	00:21:33.636	00:21:33.676	Daniel Okonkwo	Oh.
364	0	00:21:14.996	00:21:18.378	Elena Marchetti	then you're okay. So not the Vendor workflow is fine.
364	1	00:21:18.378	00:21:23.227	Elena Marchetti	You're just basically establishing that right. So there's two actions here.
364	2	00:21:23.227	00:21:27.694	Elena Marchetti	One is to work out if that's possible, like if NETCO's okay with that,
364	3	00:21:27.694	00:21:31.076	Elena Marchetti	because we don't actually know, we think it will be.
365	0	00:21:33.716	00:21:36.489	Martin Vasquez	Well on the portal, I'm just looking at my service,
365	1	00:21:36.489	00:21:38.196	Martin Vasquez	on the portal I can only select.
367	0	00:21:39.156	00:21:42.229	Martin Vasquez	one of four templates and they're all default mapped.
367	1	00:21:42.229	00:21:46.782	Martin Vasquez	So I don't even know if we've got the PRIORITY-MARK mapped ones. Are they configured or,
367	2	00:21:46.782	00:21:47.636	Martin Vasquez	yeah, not sure.
368	0	00:21:50.956	00:21:51.076	Daniel Okonkwo	Yeah.
369	0	00:21:50.196	00:21:54.332	Elena Marchetti	The impression I got was that they're not offered anymore.
369	1	00:21:54.332	00:21:56.996	Elena Marchetti	It's not a supported template anymore.
370	0	00:21:58.436	00:21:58.916	Martin Vasquez	Right.
371	0	00:22:00.996	00:22:02.036	Daniel Okonkwo	Good morning.
372	0	00:22:03.956	00:22:04.156	Daniel Okonkwo	Yeah.
373	0	00:21:58.676	00:22:03.316	Elena Marchetti	But that's yes, that's yes, I can't speak from any level of.
374	0	00:22:06.116	00:22:07.956	Elena Marchetti	Thatti then.
375	0	00:22:11.156	00:22:11.796	Elena Marchetti	Right, yeah.
376	0	00:22:16.116	00:22:16.316	Daniel Okonkwo	Okay.
377	0	00:22:13.156	00:22:17.076	Elena Marchetti	So I guess we need to figure that out. So who's best placed to figure that out?
378	0	00:22:18.036	00:22:18.516	Elena Marchetti	That's them.
379	0	00:22:21.716	00:22:25.396	Elena Marchetti	Do we need to do a test to do it like to we contact NETCO like what's the?
380	0	00:22:33.476	00:22:33.636	Daniel Okonkwo	Yeah.
381	0	00:22:34.276	00:22:35.316	Elena Marchetti	Ohh, there we go.
382	0	00:22:23.956	00:22:31.178	Martin Vasquez	I can select when I when I configure a new PREMISES-DEVICE port on my service,
382	1	00:22:31.178	00:22:34.196	Martin Vasquez	I can select PRIORITY-MARK templates.
383	0	00:22:36.196	00:22:39.558	Martin Vasquez	So, it sounds like it's not supported, but to have to worry about it going
383	1	00:22:39.558	00:22:40.276	Martin Vasquez	between the two.
384	0	00:22:41.076	00:22:41.316	Daniel Okonkwo	Okay.
385	0	00:22:42.676	00:22:43.996	Rafael Costa (Vendor)	Please come against this.
386	0	00:22:46.516	00:22:46.916	Rafael Costa (Vendor)	Yeah.
387	0	00:22:50.276	00:22:50.756	Rafael Costa (Vendor)	Mhm.
388	0	00:22:51.836	00:22:52.036	Rafael Costa (Vendor)	Yeah.
389	0	00:22:55.316	00:22:55.876	Rafael Costa (Vendor)	Okay.
390	0	00:22:45.076	00:22:50.929	Martin Vasquez	So I'll just check the portal on my existing SERVICE-REF, which is default mapped.
390	1	00:22:50.929	00:22:54.676	Martin Vasquez	I can only select new default mapped templates.
391	0	00:22:58.356	00:22:58.676	Rafael Costa (Vendor)	Yeah.
392	0	00:22:56.116	00:22:59.541	Martin Vasquez	On a brand new order for on a brand new port,
392	1	00:22:59.541	00:23:03.636	Martin Vasquez	I can select the either default mapped or PRIORITY-MARK mapped.
393	0	00:23:05.916	00:23:06.436	Rafael Costa (Vendor)	Okay.
394	0	00:23:05.316	00:23:10.356	Martin Vasquez	So, based on the portal, you cannot swap between them.
395	0	00:23:10.916	00:23:11.236	Rafael Costa (Vendor)	Okay.
396	0	00:23:23.236	00:23:23.956	Peter Almqvist (Vendor)	So, maybe.
397	0	00:23:13.516	00:23:17.436	Rafael Costa (Vendor)	Okay, so now the question that we, that this will raise,
397	1	00:23:17.436	00:23:23.076	Rafael Costa (Vendor)	if we have a legacy service with like a PRIORITY-MARK mapped or a priority mapped or tags.
398	0	00:23:24.516	00:23:27.636	Rafael Costa (Vendor)	This means that we cannot move them to the default maps.
399	0	00:23:29.156	00:23:31.236	Rafael Costa (Vendor)	And this means that we need to support.
400	0	00:23:32.996	00:23:35.741	Rafael Costa (Vendor)	Like, if we we we want to continue supporting
400	1	00:23:35.741	00:23:39.382	Rafael Costa (Vendor)	these services, we need to support, like, define those ones,
400	2	00:23:39.382	00:23:44.276	Rafael Costa (Vendor)	then we need to basically extend these sheets to cover all the other types of VM.
401	0	00:23:45.796	00:23:53.316	Rafael Costa (Vendor)	We then, we then modes, right? Otherwise, we cannot deal with this, with this.
402	0	00:23:54.516	00:23:55.396	Rafael Costa (Vendor)	existing products.
403	0	00:23:56.756	00:23:57.556	Rafael Costa (Vendor)	We aim to find.
404	0	00:23:56.916	00:23:59.316	Elena Marchetti	Is it possible you can go, you can go the other way?
405	0	00:24:00.756	00:24:02.196	Elena Marchetti	It may be your PREMISES-DEVICE version.
406	0	00:24:04.836	00:24:06.836	Elena Marchetti	I don't know, I was wondering if...
407	0	00:24:06.036	00:24:08.755	Rafael Costa (Vendor)	No, interview version has nothing to do with
407	1	00:24:08.755	00:24:13.769	Rafael Costa (Vendor)	the SEGMENT-TAG. This is purely on the HANDOFF side. You configure a specific SEGMENT-TAG on the HANDOFF
407	2	00:24:13.769	00:24:18.603	Rafael Costa (Vendor)	and the consumer or the customer need to configure the same on the other end of
407	3	00:24:18.603	00:24:21.261	Rafael Costa (Vendor)	the. You should expect that there will be a
407	4	00:24:21.261	00:24:23.316	Rafael Costa (Vendor)	SEGMENT-TAG coming from this really port.
408	0	00:24:24.436	00:24:28.426	Martin Vasquez	Well, the SEGMENT-TAG mode, like, I, I, on this, on the portal,
408	1	00:24:28.426	00:24:32.276	Martin Vasquez	I cannot when I choose a PRIORITY-MARK mapped product template.
409	0	00:24:33.316	00:24:36.912	Martin Vasquez	I cannot select the SEGMENT-TAG mode. So maybe it's just inferred from the
409	1	00:24:36.912	00:24:39.716	Martin Vasquez	template. Like maybe that's why you can't change it.
410	0	00:24:40.836	00:24:44.705	Rafael Costa (Vendor)	Yeah, yeah, that's why I wanted to just open the
410	1	00:24:44.705	00:24:48.810	Rafael Costa (Vendor)	other one, but but basically the the the other ones
410	2	00:24:48.810	00:24:54.811	Rafael Costa (Vendor)	here priority has has been defined SEGMENT-TAG tagged is is open, it open a range,
410	3	00:24:54.811	00:24:58.996	Rafael Costa (Vendor)	so you can I'm talking about from METCO, not from ClientCo.
413	0	00:25:18.796	00:25:20.116	Elena Marchetti	This Victor brought it up.
414	0	00:24:58.276	00:25:02.397	Martin Vasquez	I guess my question then is what legacy templates have we inherited here?
414	1	00:25:02.397	00:25:06.072	Martin Vasquez	Like is it just PRIORITY-MARK mapped? Is it priority tagged? Is it tagged?
414	2	00:25:06.072	00:25:10.081	Martin Vasquez	Is it all of them? Like I don't know, I didn't do any of these imports.
414	3	00:25:10.081	00:25:14.592	Martin Vasquez	I've got no idea what these services are. I don't know who found out about them.
414	4	00:25:14.592	00:25:18.156	Martin Vasquez	Is that an Elena question? Like why has this come up as a thing?
417	0	00:25:21.156	00:25:28.002	Elena Marchetti	And then Daniel verified that that's a it's an issue of services coming in from
417	1	00:25:28.002	00:25:28.436	Elena Marchetti	LEGACY-CARRIER.
420	0	00:25:30.676	00:25:32.196	Elena Marchetti	And the way it was.
421	0	00:25:29.476	00:25:32.917	Martin Vasquez	Yeah, so do we know if they're PRIORITY-MARK priority or
421	1	00:25:32.917	00:25:33.796	Martin Vasquez	just tagged?
422	0	00:25:35.476	00:25:36.356	Daniel Okonkwo	It's just tagged.
425	0	00:25:37.876	00:25:40.196	Martin Vasquez	So not PRIORITY-MARK, not priority, just tagged.
428	0	00:25:40.916	00:25:42.756	Daniel Okonkwo	No, it's yeah, you need to be tagged.
440	0	00:25:49.676	00:25:54.614	Elena Marchetti	The way it was described to me, Daniel, was that it's a mode which tags by
440	1	00:25:54.614	00:25:58.084	Elena Marchetti	product and when it's invisible to us. So it's not,
440	2	00:25:58.084	00:26:02.088	Elena Marchetti	it doesn't come in as a C tag, it comes in as an inner tag.
440	3	00:26:02.088	00:26:03.156	Elena Marchetti	But essentially.
445	0	00:26:02.116	00:26:05.870	Daniel Okonkwo	It doesn't come in at all, right? It's transparent to us.
445	1	00:26:05.870	00:26:09.819	Daniel Okonkwo	It is tagged on the HANDOFF, and basically it does a one to two
445	2	00:26:09.819	00:26:13.703	Daniel Okonkwo	translation where they basically call SEGMENT-TAG 100 on the HANDOFF,
445	3	00:26:13.703	00:26:19.141	Daniel Okonkwo	then they'll translate that to the S&amp; C tag. It's completely transparent to us.
445	4	00:26:19.141	00:26:20.436	Daniel Okonkwo	We don't see it, but
450	0	00:26:21.156	00:26:25.878	Daniel Okonkwo	We need to know about it because it's important that we can support the
450	1	00:26:25.878	00:26:31.060	Daniel Okonkwo	customer. And LEGACY-CARRIER are big on doing it. They did it back in the day as original
450	2	00:26:31.060	00:26:34.602	Daniel Okonkwo	part of their product spec because they wanted to go,
450	3	00:26:34.602	00:26:38.276	Daniel Okonkwo	call SEGMENT-TAG 100 for data and we'll do SEGMENT-TAG 200 for voice.
451	0	00:26:46.756	00:26:46.916	Rafael Costa (Vendor)	I...
454	0	00:26:39.476	00:26:42.157	Daniel Okonkwo	So, it's a product thing from legacy LEGACY-CARRIER
454	1	00:26:42.157	00:26:45.158	Daniel Okonkwo	services, but we don't really care a whole lot
454	2	00:26:45.158	00:26:46.116	Daniel Okonkwo	about it, so...
455	0	00:26:46.276	00:26:49.507	Martin Vasquez	Yep, so for the tag, for the tagged template,
455	1	00:26:49.507	00:26:52.738	Martin Vasquez	the only the only in the again in the portal,
455	2	00:26:52.738	00:26:57.796	Martin Vasquez	but the only different thing I can now change is the CUSTOMER-EDGE-TAG. That's it.
456	0	00:27:00.996	00:27:01.956	Daniel Okonkwo	Yeah, well, see.
457	0	00:27:00.836	00:27:03.076	Rafael Costa (Vendor)	The CUSTOMER-EDGE-TAG then on the inline, on the inline.
458	0	00:27:05.476	00:27:05.716	Daniel Okonkwo	Bye.
459	0	00:27:01.196	00:27:05.908	Martin Vasquez	And I guess the question for probably you, Daniel, maybe,
459	1	00:27:05.908	00:27:09.876	Martin Vasquez	is it would we ever need to change that CUSTOMER-EDGE-TAG?
460	0	00:27:11.356	00:27:13.890	Daniel Okonkwo	What does that represent? Does that represent the unit A tag or
460	1	00:27:13.890	00:27:15.236	Daniel Okonkwo	does that represent the state tag?
461	0	00:27:17.396	00:27:17.636	Rafael Costa (Vendor)	Yeah.
462	0	00:27:18.836	00:27:19.716	Rafael Costa (Vendor)	Yeah, you.
463	0	00:27:16.676	00:27:19.956	Martin Vasquez	It's the CUSTOMER-EDGE-TAG ID, the CUSTOMER-EDGE-TAG ID.
466	0	00:27:22.836	00:27:26.759	Daniel Okonkwo	Yep, then which represents the say tag or the,
466	1	00:27:26.759	00:27:28.596	Daniel Okonkwo	but is that a HANDOFF tag?
467	0	00:27:30.596	00:27:31.156	Daniel Okonkwo	Okay.
470	0	00:27:32.756	00:27:35.276	Daniel Okonkwo	Okay, so then I would suspect, yeah.
471	0	00:27:27.956	00:27:31.439	Martin Vasquez	C tag is separate, C tag is another field. Yeah, so it's that,
471	1	00:27:31.439	00:27:35.476	Martin Vasquez	it's that inner one that you mentioned, the transparent one or whatever.
472	0	00:27:37.076	00:27:37.556	Daniel Okonkwo	Do we have?
473	0	00:27:36.316	00:27:37.716	Martin Vasquez	Like, will we ever need to change it?
476	0	00:27:39.076	00:27:42.369	Daniel Okonkwo	I mean, probably, yeah, I think we have to assume that if it's
476	1	00:27:42.369	00:27:42.996	Daniel Okonkwo	there, we...
479	0	00:27:44.436	00:27:45.396	Daniel Okonkwo	Change of aura.
482	0	00:27:44.356	00:27:46.627	Martin Vasquez	Well, if it's transparent and we don't need to
482	1	00:27:46.627	00:27:49.236	Martin Vasquez	do anything with it on the network and stuff, like...
491	0	00:27:50.756	00:27:54.190	Martin Vasquez	It doesn't, it wouldn't affect any, I don't know. Like it,
491	1	00:27:54.190	00:27:57.334	Martin Vasquez	the other question I would have is how many of these,
491	2	00:27:57.334	00:28:00.128	Martin Vasquez	how many of these services do we actually have?
491	3	00:28:00.128	00:28:03.853	Martin Vasquez	Like how far do you go in terms of automation, in terms of INVENTORY,
491	4	00:28:03.853	00:28:07.579	Martin Vasquez	storing it and retrieving it? And is it going to be part of any
491	5	00:28:07.579	00:28:11.596	Martin Vasquez	workflows? Do we need to, how far do we need to support changing it?
494	0	00:28:09.996	00:28:14.215	Daniel Okonkwo	We see this come up, we see this come up pretty often in terms
494	1	00:28:14.215	00:28:15.956	Daniel Okonkwo	of migrating in customers.
501	0	00:28:33.676	00:28:33.876	Martin Vasquez	Yeah.
502	0	00:28:19.716	00:28:22.384	Daniel Okonkwo	So, like, we could have someone turn around,
502	1	00:28:22.384	00:28:27.008	Daniel Okonkwo	like future broadband or something, right? Could turn around tomorrow and go,
502	2	00:28:27.008	00:28:30.506	Daniel Okonkwo	we want to migrate 30, 000 services in with SEGMENT-TAG tags. So,
502	3	00:28:30.506	00:28:32.996	Daniel Okonkwo	and I would just build it like we need it.
503	0	00:28:38.756	00:28:42.592	Martin Vasquez	In terms of, because obviously like changing SEGMENT-TAG mode
503	1	00:28:42.592	00:28:44.476	Martin Vasquez	as a function would be a...
506	0	00:28:45.636	00:28:51.852	Martin Vasquez	Modify order order modify thing that we would need to potentially need to support,
506	1	00:28:51.852	00:28:52.676	Martin Vasquez	but like...
511	0	00:28:53.756	00:28:57.274	Martin Vasquez	Where does that sit in terms of CR and time frames and all that sort of stuff,
511	1	00:28:57.274	00:28:59.456	Martin Vasquez	right? Especially if you can just go and quickly
511	2	00:28:59.456	00:29:00.436	Martin Vasquez	do that in the portal.
518	0	00:29:02.316	00:29:08.976	Martin Vasquez	For now, I don't know, like, yeah, that's more of a that's more of a design
518	1	00:29:08.976	00:29:13.970	Martin Vasquez	decision than anything, but basically from a from an METCO
518	2	00:29:13.970	00:29:19.316	Martin Vasquez	perspective, yes, for new services we can we can definitely.
521	0	00:29:21.396	00:29:25.587	Martin Vasquez	select tag as a product template, and once you do that,
521	1	00:29:25.587	00:29:29.703	Martin Vasquez	you get access to the CUSTOMER-EDGE-TAG or the customer edge SEGMENT-TAG ID,
521	2	00:29:29.703	00:29:35.690	Martin Vasquez	and you can set that to whatever you want. Has to start, has to be from 2 to 4,
521	3	00:29:35.690	00:29:37.636	Martin Vasquez	094 inclusive, apparently.
522	0	00:29:40.196	00:29:41.956	Martin Vasquez	Yep, yep.
523	0	00:29:46.116	00:29:46.516	Martin Vasquez	Yeah.
524	0	00:29:36.516	00:29:40.583	Rafael Costa (Vendor)	This is, this is for, yeah, you can see my screen, right? Yeah,
524	1	00:29:40.583	00:29:45.223	Rafael Costa (Vendor)	this is the, the, the, oh, actually, this is a unique SEGMENT-TAG for the text,
524	2	00:29:45.223	00:29:50.053	Rafael Costa (Vendor)	like the PRIORITY-MARK actually doesn't have the unique SEGMENT-TAG as well as a parameter.
524	3	00:29:50.053	00:29:54.756	Rafael Costa (Vendor)	It's only applicable for an ACCESS-VARIANT-N, so for the tagged and for the priority.
525	0	00:30:00.996	00:30:01.396	Rafael Costa (Vendor)	Yeah.
528	0	00:30:04.996	00:30:06.116	Rafael Costa (Vendor)	Yeah, correct.
529	0	00:29:54.196	00:29:57.389	Martin Vasquez	Yeah, that's why I wanted to clarify, if Daniel,
529	1	00:29:57.389	00:30:01.114	Martin Vasquez	which which actual product templates he was mentioning,
529	2	00:30:01.114	00:30:05.771	Martin Vasquez	and the tag one makes sense, 'cause that that's where you specify the
529	3	00:30:05.771	00:30:06.836	Martin Vasquez	the actual SEGMENT-TAG.
530	0	00:30:16.036	00:30:16.356	Martin Vasquez	Yeah.
533	0	00:30:07.156	00:30:11.669	Rafael Costa (Vendor)	And that priority is always fixed as a zero, so yeah, so this is the only,
533	1	00:30:11.669	00:30:15.039	Rafael Costa (Vendor)	so basically, the unique SEGMENT-TAG is only applicable at the
533	2	00:30:15.039	00:30:19.914	Rafael Costa (Vendor)	tagged, like the input is in the tagged, and it's mandatory mandatory to come in
533	3	00:30:19.914	00:30:20.516	Rafael Costa (Vendor)	the order.
534	0	00:30:24.396	00:30:26.737	Martin Vasquez	Yep, it says required for tagged HANDOFF mapping
534	1	00:30:26.737	00:30:27.236	Martin Vasquez	mode only.
535	0	00:30:28.036	00:30:29.716	Rafael Costa (Vendor)	Correct, exactly, yes.
536	0	00:30:30.836	00:30:31.796	Rafael Costa (Vendor)	And, and if you look...
540	0	00:30:30.916	00:30:34.756	Martin Vasquez	Does that say 4004? Can't quite read your screen.
541	0	00:30:35.316	00:30:36.996	Rafael Costa (Vendor)	Yeah, yeah, yeah, yes, correct, yeah.
544	0	00:30:42.036	00:30:42.436	Rafael Costa (Vendor)	Yeah.
547	0	00:30:36.676	00:30:41.637	Martin Vasquez	Cause in the port in the portal it says 4000 and ninety-four, so anyway,
547	1	00:30:41.637	00:30:42.996	Martin Vasquez	just ambient things.
548	0	00:30:44.716	00:30:47.804	Elena Marchetti	Yeah, so we, so we, so you're saying we're sure that these
548	1	00:30:47.804	00:30:51.102	Elena Marchetti	are infest tagged product templates, these services coming in,
548	2	00:30:51.102	00:30:53.615	Elena Marchetti	or are you just saying when you mention tagged,
548	3	00:30:53.615	00:30:56.076	Elena Marchetti	are you just saying they have they are tagged?
551	0	00:30:54.716	00:30:58.251	Martin Vasquez	Do you have, hey, hey Daniel, do you have an example XYZ or SERVICE-REF-ID?
551	1	00:30:58.251	00:30:59.556	Martin Vasquez	I'm gonna go look it up.
552	0	00:31:00.516	00:31:01.076	Elena Marchetti	Good idea.
553	0	00:31:02.996	00:31:05.716	Daniel Okonkwo	Off the top of my head, no, but I probably...
554	0	00:31:04.836	00:31:07.321	Martin Vasquez	You don't remember them? They're only 12 digits long.
554	1	00:31:07.321	00:31:08.196	Martin Vasquez	How hard can it be?
556	0	00:31:09.156	00:31:11.396	Daniel Okonkwo	Yeah, I know it starts with XYZ0.
557	0	00:31:11.716	00:31:13.236	Martin Vasquez	Does it have a bunch of zeros at the start?
558	0	00:31:14.116	00:31:15.316	Daniel Okonkwo	It does, yeah, yeah.
559	0	00:31:17.156	00:31:18.196	Daniel Okonkwo	You know the one? Yeah.
560	0	00:31:14.916	00:31:19.956	Martin Vasquez	Yeah, well, we're halfway there, so yeah, hit that one.
561	0	00:31:19.236	00:31:20.596	Daniel Okonkwo	Um, not would would not have a clue.
566	0	00:31:21.316	00:31:24.980	Martin Vasquez	All right, cool, 'cause yeah, obviously just be able to look,
566	1	00:31:24.980	00:31:29.059	Martin Vasquez	do a query PR on it, basically, and and see what it comes back with,
566	2	00:31:29.059	00:31:30.596	Martin Vasquez	look at the template idea.
567	0	00:31:29.636	00:31:31.876	Elena Marchetti	Does you be able to get us one night?
573	0	00:31:38.116	00:31:40.921	Daniel Okonkwo	Not really, because this isn't documented anywhere,
573	1	00:31:40.921	00:31:45.238	Daniel Okonkwo	right? We have to see which ones decide. This is the whole other problem. Marty,
573	2	00:31:45.238	00:31:48.906	Daniel Okonkwo	you might be able to just... Is there anything you can filter on in
573	3	00:31:48.906	00:31:49.716	Daniel Okonkwo	the NETCO portal?
576	0	00:31:52.596	00:31:58.479	Martin Vasquez	No, not because I'm searching. They don't quite seem to have that sort
576	1	00:31:58.479	00:31:59.556	Martin Vasquez	of filtering.
577	0	00:31:58.036	00:32:00.149	Daniel Okonkwo	Well, if only there was people in here that had
577	1	00:32:00.149	00:32:02.836	Daniel Okonkwo	access to the NETCO side of the systems that might be able to.
578	0	00:32:02.076	00:32:05.426	Martin Vasquez	No, no, no, no, I've thought of a way to do it.
578	1	00:32:05.426	00:32:08.916	Martin Vasquez	All of these would appear on our NETCO bill, right?
579	0	00:32:09.996	00:32:10.596	Daniel Okonkwo	Yes.
580	0	00:32:10.836	00:32:13.607	Martin Vasquez	Yeah, so I'll be able to search the METCO bill.
580	1	00:32:13.607	00:32:17.522	Martin Vasquez	I'll let you know, Rafael, what product templates we actually are
580	2	00:32:17.522	00:32:21.076	Martin Vasquez	paying for, I think, is probably the easiest way to do it.
581	0	00:32:38.996	00:32:39.316	Martin Vasquez	Yeah.
582	0	00:32:21.716	00:32:26.821	Rafael Costa (Vendor)	Yes, so, so you mean that, OK, maybe, maybe this is something which we can
582	1	00:32:26.821	00:32:30.769	Rafael Costa (Vendor)	relate to another, do we need support these variations of
582	2	00:32:30.769	00:32:35.670	Rafael Costa (Vendor)	the of the templates or not, because this will require some some, yeah,
582	3	00:32:35.670	00:32:41.116	Rafael Costa (Vendor)	some changes at our end. At the moment, we we kept it to the to this this ones.
589	0	00:32:41.236	00:32:44.950	Rafael Costa (Vendor)	The the the four categories here, but yeah,
589	1	00:32:44.950	00:32:50.352	Rafael Costa (Vendor)	if we would need to go to the different categories, yeah, yeah,
589	2	00:32:50.352	00:32:56.851	Rafael Costa (Vendor)	we did the model change, but but yeah, my I my my old perception was that we
589	3	00:32:56.851	00:33:01.156	Rafael Costa (Vendor)	just to bring them to the the INVENTORY, but but we are.
591	0	00:33:01.196	00:33:06.836	Rafael Costa (Vendor)	Not yet there to support, like, modify and disconnect all these services.
592	0	00:33:07.996	00:33:08.116	Rafael Costa (Vendor)	Um...
593	0	00:33:17.196	00:33:17.316	Daniel Okonkwo	Yeah.
596	0	00:33:23.556	00:33:24.036	Rafael Costa (Vendor)	Mhm.
597	0	00:33:07.556	00:33:11.309	Martin Vasquez	Yep, you would pretty much have to, like, at the moment in the current
597	1	00:33:11.309	00:33:15.539	Martin Vasquez	implementation from how I understand all of your workflows and everything work,
597	2	00:33:15.539	00:33:18.817	Martin Vasquez	they're unimportable because the second that you import them,
597	3	00:33:18.817	00:33:22.888	Martin Vasquez	you could in theory do a bandwidth profile change on them and it would break
597	4	00:33:22.888	00:33:25.584	Martin Vasquez	their SEGMENT-TAG mode, it would go back to default maps.
597	5	00:33:25.584	00:33:27.276	Martin Vasquez	Actually, it wouldn't even work.
598	0	00:33:31.316	00:33:31.796	Rafael Costa (Vendor)	Yeah.
601	0	00:33:27.356	00:33:30.129	Martin Vasquez	Work right, it did just fail because, as we know,
601	1	00:33:30.129	00:33:33.956	Martin Vasquez	it doesn't allow you to change it, so any any of those orders would.
602	0	00:33:37.876	00:33:40.196	Rafael Costa (Vendor)	Correct, correct, yes, correct, yes.
603	0	00:33:35.036	00:33:39.281	Martin Vasquez	Although, is that really a problem? Any of those orders would just go to fall
603	1	00:33:39.281	00:33:42.547	Martin Vasquez	out, wouldn't they? So, or at least fail back to the BIZ-SUPPORT or
603	2	00:33:42.547	00:33:43.636	Martin Vasquez	something. So, yeah.
604	0	00:33:48.516	00:33:48.836	Martin Vasquez	Yeah.
605	0	00:33:41.796	00:33:45.228	Rafael Costa (Vendor)	Yeah, yeah, we should, we should, if we need to handle them,
605	1	00:33:45.228	00:33:49.505	Rafael Costa (Vendor)	we should handle them properly by like supporting these other types of SEGMENT-TAG
